Activity Constituency,Organization Common Name,Amount Paid,Confirmed Jobs Created
Moose Jaw - Lake Centre - Lanigan,Moose Jaw Association for Community Living Inc.,"$3,557",1
Moose Jaw - Lake Centre - Lanigan,Moose Jaw MFRC,"$21,147",6
Moose Jaw - Lake Centre - Lanigan,Moose Jaw Multicultural Council Inc,"$16,719",5
Moose Jaw - Lake Centre - Lanigan,Moose Jaw Museum & Art Gallery,"$4,645",1
Moose Jaw - Lake Centre - Lanigan,"Moose Jaw Pride, Sask Pride Network","$17,801",4
Moose Jaw - Lake Centre - Lanigan,Moose Jaw Public Library,"$3,032",1
Moose Jaw - Lake Centre - Lanigan,Moose Jaw Soccer Association,"$3,495",1
Moose Jaw - Lake Centre - Lanigan,Moose Jaw and District Literacy Network,"$3,078",1
Moose Jaw - Lake Centre - Lanigan,Nokomis District Museum & Heritage Co-op,"$5,890",1
Moose Jaw - Lake Centre - Lanigan,Nokomis Early Learning Centre,"$3,515",1
Moose Jaw - Lake Centre - Lanigan,Northwest Child Development Centre,"$6,953",2
Moose Jaw - Lake Centre - Lanigan,Prairie Sky Trails Association,"$7,049",2
Moose Jaw - Lake Centre - Lanigan,Prairie's Edge Development Corporation,"$1,548",1
Moose Jaw - Lake Centre - Lanigan,Preston Early Learning,"$3,097",1
Moose Jaw - Lake Centre - Lanigan,Provincial Airways,"$5,395",3
Moose Jaw - Lake Centre - Lanigan,RM of Longlaketon No. 219,"$1,548",1
Moose Jaw - Lake Centre - Lanigan,Resort Village Of Mistusinne,"$1,576",1
Moose Jaw - Lake Centre - Lanigan,Resort Village of Etters Beach,"$2,654",1
Moose Jaw - Lake Centre - Lanigan,Resort Village of Lumsden Beach,"$1,543",1
Moose Jaw - Lake Centre - Lanigan,Resort Village of Shields,"$1,327",1
Moose Jaw - Lake Centre - Lanigan,SaskAbilities,"$57,442",16
Moose Jaw - Lake Centre - Lanigan,Saskatchewan Festival of Words,"$9,078",3
Moose Jaw - Lake Centre - Lanigan,Sexton Ranch,"$4,926",2
Moose Jaw - Lake Centre - Lanigan,Small Steps Early Learning Centre Inc.,"$3,389",2
Moose Jaw - Lake Centre - Lanigan,Squirrely Putt & Play,"$4,247",3
Moose Jaw - Lake Centre - Lanigan,Strasbourg Bible Camp,"$17,949",5
Moose Jaw - Lake Centre - Lanigan,Strasbourg Co-op,"$1,416",1
Moose Jaw - Lake Centre - Lanigan,Sukanen Ship Pioneer Village and Museum Inc,"$4,231",1
Moose Jaw - Lake Centre - Lanigan,The Saskatchewan Brain Injury Association,"$3,533",1
Moose Jaw - Lake Centre - Lanigan,Thorstad Computers Inc,"$1,548",1
Moose Jaw - Lake Centre - Lanigan,Thunder Creek Rehabilitation Association,"$10,568",3
Moose Jaw - Lake Centre - Lanigan,Tourism Moose Jaw Inc.,"$13,272",5
Moose Jaw - Lake Centre - Lanigan,Town of Allan,"$2,876",3
Moose Jaw - Lake Centre - Lanigan,Town of Colonsay,"$1,548",1
Moose Jaw - Lake Centre - Lanigan,Town of Dundurn,"$3,097",2
Moose Jaw - Lake Centre - Lanigan,Town of LeRoy,"$1,548",1
Moose Jaw - Lake Centre - Lanigan,Town of LeRoy,"$1,548",1
Moose Jaw - Lake Centre - Lanigan,Town of Nokomis,"$2,681",2
Moose Jaw - Lake Centre - Lanigan,Town of Outlook,"$4,186",3
Moose Jaw - Lake Centre - Lanigan,Town of Strasbourg,"$4,424",3
Moose Jaw - Lake Centre - Lanigan,Tuberosum Technologies Inc.,"$1,543",1
Moose Jaw - Lake Centre - Lanigan,Village of Bethune,"$1,548",1
Moose Jaw - Lake Centre - Lanigan,Village of Buena Vista,"$4,645",3
Moose Jaw - Lake Centre - Lanigan,Village of Kenaston,$841,1
Moose Jaw - Lake Centre - Lanigan,Village of Simpson,"$1,396",1
Moose Jaw - Lake Centre - Lanigan,Virtue Construction Ltd.,"$6,194",4
Moose Jaw - Lake Centre - Lanigan,Wakamow Valley,"$17,622",5
Moose Jaw - Lake Centre - Lanigan,Watrous & Area Arts Council,"$2,765",1
Moose Jaw - Lake Centre - Lanigan,Watrous Manitou Beach Heritage Centre,"$3,361",1
Moose Jaw - Lake Centre - Lanigan,Watrous Pharmacy,"$1,548",1
Moose Jaw - Lake Centre - Lanigan,Western Development Museum,"$3,377",1
Moose Jaw - Lake Centre - Lanigan,YMCA of Moose Jaw,"$12,376",4
Moose Jaw - Lake Centre - Lanigan,Young Swimming Pool,"$6,402",2
Moose Jaw - Lake Centre - Lanigan,TOTAL CONSTITUENCY / CIRCONSCRIPTION,"$593,477",223
Prince Albert,A&B RUBBER PAVING LTD.,"$2,100",1
Prince Albert,Ag-Quest Inc.,"$3,097",1
Prince Albert,Archives de Bellevue,"$1,629",1
Prince Albert,Bellevue Garage,"$1,548",1
Prince Albert,Bellevue Recreation Board,"$3,357",1
Prince Albert,Birch Hills & District Rec,"$3,525",1
Prince Albert,Blooms and Buds,"$3,546",1
Prince Albert,Camp Tamarack,"$17,260",5
Prince Albert,"Canadian Mental Health Association, Prince Albert Branch, Inc","$13,864",3
Prince Albert,Carlton Trail Hearing Clinic,"$1,416",1
Prince Albert,Carrot River Rec. Board,"$5,899",2
Prince Albert,Carrot River Valley Watershed Association Inc.,"$3,525",1
Prince Albert,Casper's Early Learning Co-operative Centre,"$14,011",4
Prince Albert,Catz n' Jammers,"$1,548",1
Prince Albert,Children's Haven Child Crisis Centre,"$7,080",2
Prince Albert,Childrens Choice Child Development Co-operative,"$14,151",4
Prince Albert,City of Melfort,"$5,498",4
Prince Albert,Cornerstone Insurance,"$6,194",2
Prince Albert,Discovery Ag Research,"$7,300",5
Prince Albert,Fleury's Frontier Adventures,"$2,917",3
Prince Albert,Gateway Veterinary Services,"$2,871",2
Prince Albert,Hidden Hills of Shellbrook Golf Course,"$6,194",2
Prince Albert,Hope's Home Incorporated,"$6,042",2
Prince Albert,Indian Metis Friendship Centre of Prince Albert Corporation,"$17,905",5
Prince Albert,Jubilation Residential Centres Inc.,"$3,377",1
Prince Albert,KIN ENTERPRISES INC,"$3,590",1
Prince Albert,Kinistino & District Library,"$2,882",1
Prince Albert,Kinistino Child Care Centre Inc.,"$3,459",1
Prince Albert,Kinistino District Pioneer Museum Inc.,"$2,933",1
Prince Albert,Kinsmen Club of Kinistino Inc.,"$3,455",1
Prince Albert,L'AFZP,"$3,092",1
Prince Albert,La Société canadienne-française de Prince Albert inc.,"$18,598",7
Prince Albert,La-Pouponniere Co-operative Daycare,"$3,124",1
Prince Albert,Legion  Place,"$3,525",1
Prince Albert,Lite-Way Electric Ltd.,"$1,548",1
Prince Albert,Little Explorers Daycare,"$6,882",3
Prince Albert,Living Waters Camp,"$15,483",5
Prince Albert,Main Street Events Inc.,"$3,318",1
Prince Albert,Mann Art Gallery,"$4,338",3
Prince Albert,Mazurek Industries Ltd,"$2,605",2
Prince Albert,Melfort & District Museum,"$3,525",1
Prince Albert,Melfort Agricultural Society,"$7,049",2
Prince Albert,Melfort Daycare Cooperative,"$7,894",3
Prince Albert,Napa Auto Parts/Napa Traction,"$1,548",1
Prince Albert,Nipawin & District Forestry Museum Inc,"$3,590",1
Prince Albert,Nipawin Apostolic Church,"$6,999",1
Prince Albert,Nipawin Bible College,"$3,097",1
Prince Albert,Nipawin Daycare Cooperative,"$10,284",3
Prince Albert,Nipawin Oasis Community Centre,"$6,793",3
Prince Albert,North East Outreach and Support Services,"$12,191",2
Prince Albert,North Haven Care Home.,"$2,323",1
Prince Albert,Northeast Christian Fellowship,"$6,881",2
Prince Albert,Northern Lights Bluegrass and Old Tyme Music Society,"$3,021",1
Prince Albert,Open Door Playcare Inc,"$12,144",4
Prince Albert,P.A. Gymnastics Club,"$5,807",2
Prince Albert,Pasquia Place,"$3,365",1
Prince Albert,Pasquia Regional Park Authority,"$9,290",3
Prince Albert,Plus Industries Inc.,"$7,049",2
Prince Albert,"Prince Albert Branch, SK Association for Community Living","$17,723",5
Prince Albert,Prince Albert Child Care Co-operative Association,"$7,044",2
Prince Albert,Prince Albert Daily Herald,"$1,399",1
Prince Albert,Prince Albert Historical Society,"$13,115",4
Prince Albert,Prince Albert Outreach Program Inc.,"$8,240",3
Prince Albert,Prince Albert Safe Shelter for Women,"$3,538",1
Prince Albert,Prince Albert Share a Meal Food Bank Inc.,"$6,981",2
Prince Albert,Prince Albert Tourism,"$7,049",2
Prince Albert,RM of Garden River No. 490,$600,1
Prince Albert,Recplex Day Care Centre Inc,"$3,354",1
Prince Albert,Red River Roping and Riding Co-operative Assc Ltd,"$12,387",4
Prince Albert,Ronald McDonald House Charities - Saskatchewan,"$3,485",1
Prince Albert,Rural Municipality of Moose Range,"$1,548",1
Prince Albert,Rural Municipality of Star City No. 428,"$1,066",2
Prince Albert,Rusty Hook,"$2,876",2
Prince Albert,SFA,"$3,097",1
Prince Albert,SHARE,"$3,525",1
Prince Albert,Sask Volleyball,"$3,547",1
Prince Albert,Saskatchewan Conservation Learning Centre,"$14,322",2
Prince Albert,South Hill Child Care Tiny Tot,"$7,049",2
Prince Albert,Struthers Lake Regional Park,"$3,097",1
Prince Albert,TLC Daycare Inc,"$10,385",3
Prince Albert,The Golden Grain Bakery Ltd.,"$1,548",1
Prince Albert,Tisdale Community Library - Wapiti Branch,"$3,434",1
Prince Albert,Tisdale Riverside Golf Club,"$13,542",5
Prince Albert,Tisdale Tiny Tornadoes Daycare Inc.,"$14,143",4
Prince Albert,Town of Arborfield,"$1,183",1
Prince Albert,Town of Choiceland,"$1,548",1
Prince Albert,Town of Nipawin,"$3,097",2
Prince Albert,Town of Shellbrook,"$3,561",2
Prince Albert,Town of Tisdale,"$6,194",4
Prince Albert,Under the Juniper Tree Chapel Inc.,"$3,384",1
Prince Albert,Village of St. Louis,"$1,316",1
Prince Albert,Village of Weldon,"$1,327",1
Prince Albert,Weldon Care Home,"$3,357",1
Prince Albert,West Flat Child Care Center,"$6,194",2
Prince Albert,Zenon Park Community Partners,"$6,989",2
Prince Albert,TOTAL CONSTITUENCY / CIRCONSCRIPTION,"$553,780",192
Regina - Lewvan,"1080 Architecture, Planning and Interiors Ltd.","$1,548",1
Regina - Lewvan,Agricultural Producers Association of Saskatchewan,"$3,097",1
Regina - Lewvan,Albert Park Community Association,"$14,355",2
Regina - Lewvan,Baseball Regina,"$9,063",3
Regina - Lewvan,CALVARY BAPTIST CHURCH,"$16,853",5
Regina - Lewvan,Careport Animal Hospital,"$3,097",2
Regina - Lewvan,Catholic Family Services - Regina,"$7,090",2
Regina - Lewvan,Kidzone Child Care Inc.,"$7,116",2
Regina - Lewvan,Mutchmor Lodge,"$10,675",3
Regina - Lewvan,PAD Environmental LTd.,"$1,123",1
Regina - Lewvan,PAS/Pharmacy Association of Saskatchewan,"$3,520",1
Regina - Lewvan,Prairie Lily Early Learning Centre,"$6,194",2
Regina - Lewvan,Prairie Sky School Inc.,"$38,429",8
Regina - Lewvan,RCMP Heritage Centre,"$20,140",6
Regina - Lewvan,Regina Early Learning Centre Inc.,"$4,897",1
Regina - Lewvan,Regina Flying Club,"$3,021",1
Regina - Lewvan,Royal City Soccer Club,"$4,200",1
Regina - Lewvan,SaskExpress,"$8,771",2
Regina - Lewvan,Saskatchewan Association for the Rehabilitation of the Brain Injured,"$6,042",2
Regina - Lewvan,Saskatchewan Rugby Union Inc,"$3,034",1
Regina - Lewvan,Saskatchewan Urban Municipalities Association,"$3,485",1
Regina - Lewvan,Solid Futures Learning Centre,"$9,290",3
Regina - Lewvan,South Saskatchewan Community Foundation,"$3,525",1
Regina - Lewvan,Spinal Cord Injury Saskatchewan Inc.,"$2,301",1
Regina - Lewvan,Street Culture Project,"$8,141",3
Regina - Lewvan,The Caring Place,"$3,334",1
Regina - Lewvan,Turtle Park Co-operative Childcare Center,"$3,092",1
Regina - Lewvan,Wascana Racing Canoe Club.,"$7,087",2
Regina - Lewvan,Westhill Park Baptist Church,"$7,093",2
Regina - Lewvan,TOTAL CONSTITUENCY / CIRCONSCRIPTION,"$219,613",62
Regina - Qu'Appelle,Abernethy Nature-Heritage Museum,"$3,357",1
Regina - Qu'Appelle,Amazing Adventure,"$1,539",1
Regina - Qu'Appelle,Argyle Park Housing Co-op,"$3,097",1
Regina - Qu'Appelle,Autism Resource Centre,"$16,112",5
Regina - Qu'Appelle,Avonhurst Pentecostal Assembly,"$7,049",2
Regina - Qu'Appelle,Awasis Child Care,"$10,600",3
Regina - Qu'Appelle,Baseball Sask,"$3,335",1
Regina - Qu'Appelle,Big Brothers Big Sisters of Regina and Area,"$7,181",2
Regina - Qu'Appelle,Bright Beginnings Early Childhood Centre,"$7,049",2
Regina - Qu'Appelle,Brownstone Health & Fitness,"$2,516",1
Regina - Qu'Appelle,CURLSASK,"$2,858",1
Regina - Qu'Appelle,Cache Tactical Supply Inc.,"$1,548",1
Regina - Qu'Appelle,Camp Monahan,"$13,264",5
Regina - Qu'Appelle,Chalupiak & Associates,"$3,092",2
Regina - Qu'Appelle,Clare Parker Homes Inc,"$11,645",4
Regina - Qu'Appelle,Conseil culturel fransaskois,"$3,540",1
Regina - Qu'Appelle,Country Munchkins Daycare,"$3,525",1
Regina - Qu'Appelle,Creative Touch Wedding Designs,"$4,081",3
Regina - Qu'Appelle,Cupar & District Lions Club,"$3,077",1
Regina - Qu'Appelle,Cupar Museum,"$2,654",1
Regina - Qu'Appelle,Czemeres Enterprises Inc.,"$3,092",2
Regina - Qu'Appelle,Deer Park Villa Inc.,"$5,899",2
Regina - Qu'Appelle,Diabetes Canada,"$3,517",1
Regina - Qu'Appelle,District of Katepwa,"$1,548",1
Regina - Qu'Appelle,Earthcare Connections,"$3,454",1
Regina - Qu'Appelle,Echo Lake Bible Camp,"$3,775",1
Regina - Qu'Appelle,Eden Care Communities Foundation Inc.,"$3,021",1
Regina - Qu'Appelle,Evraz Place,"$5,784",2
Regina - Qu'Appelle,File Hills Qu'Appelle Tribal Council,"$6,713",2
Regina - Qu'Appelle,First Steps Wellness Centre,"$7,049",1
Regina - Qu'Appelle,First Years Learning Center Inc,"$3,097",1
Regina - Qu'Appelle,Football Saskatchewan,"$3,525",1
Regina - Qu'Appelle,Fort Qu'Appelle,"$10,839",5
Regina - Qu'Appelle,Friends of the Motherwell Homestead Inc.,"$6,695",2
Regina - Qu'Appelle,Gabriel Housing Corporation,"$6,194",2
Regina - Qu'Appelle,Historic Bell Barn,"$3,575",1
Regina - Qu'Appelle,Hooplife,"$5,751",4
Regina - Qu'Appelle,Junior Achievement Saskatchewan,"$6,933",2
Regina - Qu'Appelle,Katepwa Lake Camp,"$12,678",5
Regina - Qu'Appelle,Lark Farm,"$1,294",1
Regina - Qu'Appelle,Little Memories Child Care Co-operative,"$3,519",1
Regina - Qu'Appelle,Marine Services Ltd.,"$1,316",1
Regina - Qu'Appelle,Munz Media,"$1,543",1
Regina - Qu'Appelle,NORTH CENTRAL FAMILY CENTRE INC.,"$6,942",2
Regina - Qu'Appelle,Namerind Housing Corporation,"$3,525",1
Regina - Qu'Appelle,Neil Squire Society,"$3,574",1
Regina - Qu'Appelle,North Central Community Association,"$3,013",1
Regina - Qu'Appelle,Prairie Dreams Learning Centre,"$3,367",1
Regina - Qu'Appelle,Qu'Appelle Daycare,"$3,520",1
Regina - Qu'Appelle,Qu'Appelle Valley Friendship Centre,"$7,045",3
Regina - Qu'Appelle,Queen City Gymnastics Club,"$3,222",1
Regina - Qu'Appelle,RE/MAX Joyce Tourney Realty,"$1,548",1
Regina - Qu'Appelle,Raymore Arena Pool,"$5,309",2
Regina - Qu'Appelle,Regina Early Learning Centre Inc.,"$3,092",1
Regina - Qu'Appelle,Regina Education and Action on Child Hunger Inc.,"$3,585",1
Regina - Qu'Appelle,Regina Humane Society,"$10,573",3
Regina - Qu'Appelle,Regina Minor Softball League,"$16,413",5
Regina - Qu'Appelle,Regina Open Door Society,"$6,938",2
Regina - Qu'Appelle,Regina Treaty Status Indian Services,"$6,715",2
Regina - Qu'Appelle,Ringette Association of Saskatchewan Inc.,"$2,574",1
Regina - Qu'Appelle,Robinson Residential Design Inc.,"$3,097",2
Regina - Qu'Appelle,Rural Municipality of Edenwold,"$4,645",3
Regina - Qu'Appelle,SCEP CENTRE Early Intervention & Training Services,"$7,049",2
Regina - Qu'Appelle,SEARCH Health Clinic,"$2,725",1
Regina - Qu'Appelle,SMEA,"$12,558",4
Regina - Qu'Appelle,STOPS to Violence,"$1,095",1
Regina - Qu'Appelle,Salthaven West,"$6,850",2
Regina - Qu'Appelle,Sask Rugby,"$7,093",2
Regina - Qu'Appelle,Saskatchewan Abilities Council (SaskAbilities),"$7,181",2
Regina - Qu'Appelle,Sexual Assault Services of Saskatchewan,"$2,985",1
Regina - Qu'Appelle,Société historique de la Saskatchewan,"$9,290",2
Regina - Qu'Appelle,Sopel Farms Ltd.,$669,1
Regina - Qu'Appelle,Special Olympics Saskatchewan,"$5,303",2
Regina - Qu'Appelle,Tangerine: The Food Bar,"$3,097",2
Regina - Qu'Appelle,The Aloha Project,"$7,028",2
Regina - Qu'Appelle,The Circle Project Assoc. Inc.,"$7,049",3
Regina - Qu'Appelle,The Terry Fox Foundation,"$3,097",1
Regina - Qu'Appelle,Touchwood Hills Regional Landfill Inc,"$1,327",1
Regina - Qu'Appelle,Town of Balgonie,"$2,876",2
Regina - Qu'Appelle,Town of Cupar,"$4,872",3
Regina - Qu'Appelle,Town of Indian Head,"$9,162",4
Regina - Qu'Appelle,Town of Ituna,"$4,529",3
Regina - Qu'Appelle,Town of Pilot Butte,"$3,097",2
Regina - Qu'Appelle,Town of Qu'Appelle,"$2,959",2
Regina - Qu'Appelle,Town of Raymore,"$1,548",1
Regina - Qu'Appelle,Town of Southey,"$1,327",1
Regina - Qu'Appelle,Town of White City,"$7,742",5
Regina - Qu'Appelle,Town of Wynyard,"$4,645",3
Regina - Qu'Appelle,Village of Abernethy .,"$1,062",1
Regina - Qu'Appelle,Village of Dysart,"$1,521",1
Regina - Qu'Appelle,Village of Kelliher,"$2,262",2
Regina - Qu'Appelle,Village of Lipton,"$2,632",2
Regina - Qu'Appelle,Wynyard C.A.R.R.E.S. Inc.,"$3,570",1
Regina - Qu'Appelle,TOTAL CONSTITUENCY / CIRCONSCRIPTION,"$458,827",176
Regina - Wascana,Acronym - Support of Families in Affliction (SOFIA) House,"$3,525",1
Regina - Wascana,Agrarius Ventures Inc.,"$1,548",1
Regina - Wascana,Ahmadiyya Muslim Jama'at Canada Inc.,"$10,002",3
Regina - Wascana,Air Cadet League of Sask.,"$5,323",1
Regina - Wascana,Al Ritchie Community Association,"$18,672",6
Regina - Wascana,Alzheimer Society of Saskatchewan Inc.,"$3,478",1
Regina - Wascana,Articulate Ink Press Inc.,"$3,508",1
Regina - Wascana,Astonished! Inc,"$10,456",2
Regina - Wascana,Avana Homes,"$1,394",1
Regina - Wascana,Awasis Child Care,"$14,362",4
Regina - Wascana,Benchmark Public Relations Inc.,"$1,244",1
Regina - Wascana,CNIB,"$3,097",1
Regina - Wascana,Canadian Blood Services,"$3,473",1
Regina - Wascana,"Canadian Mental Health Association, Regina Branch","$3,551",1
Regina - Wascana,Canadian Parents for French- Saskatchewan Inc,"$3,525",1
Regina - Wascana,Canadian Red Cross - Regina office,"$10,686",2
Regina - Wascana,Canadian Wildlife Federation,"$6,033",1
Regina - Wascana,Carmichael Outreach,"$7,049",2
Regina - Wascana,Centre éducatif Gard'Amis,"$10,284",3
Regina - Wascana,Clare Parker Homes Inc,"$6,146",2
Regina - Wascana,Creative Corners Childcare,"$3,097",1
Regina - Wascana,Dean Renwick Design Studio Inc,"$1,659",2
Regina - Wascana,Economic Development Regina Inc.,"$7,078",1
Regina - Wascana,Educating Youth in Engineering and Science (EYES),"$58,839",28
Regina - Wascana,First Years Learning Center Inc Greens,"$3,097",1
Regina - Wascana,Fresh Air Cinema,"$2,323",1
Regina - Wascana,Friends of the Royal Saskatchewan Museum,"$9,577",2
Regina - Wascana,Glencairn Alliance Church,"$3,021",1
Regina - Wascana,Globe Theatre,"$13,549",5
Regina - Wascana,Grid Environment Ltd.,"$2,743",1
Regina - Wascana,Heritage Community Association,"$8,919",2
Regina - Wascana,Hope's Home Incorporated,"$14,449",4
Regina - Wascana,John Howard Society of Saskatchewan,"$1,991",1
Regina - Wascana,Lakeshore Tennis Club,"$5,307",1
Regina - Wascana,Lark Farm,"$1,078",1
Regina - Wascana,Lifesaving Society - Saskatchewan Branch,"$3,097",1
Regina - Wascana,Living Hope Alliance Church,"$6,018",2
Regina - Wascana,Nature Saskatchewan,"$17,683",3
Regina - Wascana,New Dance Horizons,"$2,924",1
Regina - Wascana,Newo Yotina Friendship Centre,"$5,005",1
Regina - Wascana,PTRC,"$10,573",2
Regina - Wascana,Planned Parenthood Regina,"$7,274",1
Regina - Wascana,Regina Canoe & Kayak Association,"$6,194",2
Regina - Wascana,Regina Christian School Association,"$6,194",2
Regina - Wascana,Regina Downtown Business Improvement District,"$30,968",10
Regina - Wascana,Regina Folk Festival Inc.,"$5,303",1
Regina - Wascana,Regina Immigrant Women Centre,"$14,087",2
Regina - Wascana,Regina Public Interest Research Group (RPIRG),"$2,853",1
Regina - Wascana,Regina Rowing Club,"$5,302",2
Regina - Wascana,Regina Senior Citizens' Centre Inc.,"$10,047",2
Regina - Wascana,Regina Sexual Assault Centre,"$2,654",1
Regina - Wascana,Regina Transition House Inc.,"$2,853",1
Regina - Wascana,Regina Work Prep,"$7,708",2
Regina - Wascana,Royal City Soccer Club,"$6,194",2
Regina - Wascana,SARM,"$3,532",1
Regina - Wascana,SBIA,"$3,533",1
Regina - Wascana,SFL,"$2,654",1
Regina - Wascana,Sask Volleyball,"$10,617",2
Regina - Wascana,Saskatchewan Band Association,"$10,441",3
Regina - Wascana,Saskatchewan Council for International Cooperation,"$3,223",1
Regina - Wascana,Saskatchewan Lacrosse Association,"$5,308",1
Regina - Wascana,Saskatchewan Mining Association,"$5,296",1
Regina - Wascana,Saskatchewan Parks and Recreation Association,"$7,038",1
Regina - Wascana,Saskatchewan Rugby Union Inc,"$3,535",1
Regina - Wascana,Saskatchewan Science Centre,"$3,077",1
Regina - Wascana,Saskatchewan Sports Hall of Fame,"$3,534",1
Regina - Wascana,Saskatchewan Team Handball,"$5,681",2
Regina - Wascana,Saskatchewan Trails Association,"$3,228",1
Regina - Wascana,"Schizophrenia Society of Saskatchewan, Inc.","$4,849",1
Regina - Wascana,Students' Union of the University of Regina Inc.,"$10,573",3
Regina - Wascana,The Duke of Edinburgh's International Award - Canada - Saskatchewan Inc.,"$3,187",1
Regina - Wascana,The Media Co-op,"$2,643",1
Regina - Wascana,The Salvation Army Haven of Hope,"$3,273",1
Regina - Wascana,True North Strong Productions,"$3,489",1
Regina - Wascana,UR Pride Centre,"$15,400",4
Regina - Wascana,United Way Regina,"$6,053",2
Regina - Wascana,University of Regina Recreation Services,"$18,774",12
Regina - Wascana,Wascana Daycare,"$7,049",2
Regina - Wascana,Wascana Flower Shoppe,"$4,330",2
Regina - Wascana,Wascana Rhythmic Gymnastics Club,"$2,832",1
Regina - Wascana,Whitmore Park Child Care Co-operative,"$1,864",1
Regina - Wascana,Wind on my Wings Sailing Club,"$7,049",2
Regina - Wascana,YMCA Regina,"$17,622",5
Regina - Wascana,YWCA Regina,"$13,810",4
Regina - Wascana,Youth Ballet of Saskatchewan,"$3,002",1
Regina - Wascana,TOTAL CONSTITUENCY / CIRCONSCRIPTION,"$613,510",189
Saskatoon - Grasswood,Ahmadiyya Muslim Jama'at Canada Inc.,"$23,426",7
Saskatoon - Grasswood,Association des parents fransaskois inc,"$3,525",1
Saskatoon - Grasswood,Association jeunesse fransaskoise inc.,"$7,077",2
Saskatoon - Grasswood,CFS Saskatoon,"$16,421",5
Saskatoon - Grasswood,Canadian Blood Services,"$10,532",3
Saskatoon - Grasswood,Cheshire Homes,"$24,519",4
Saskatoon - Grasswood,Child Find Saskatchewan Inc,"$11,800",2
Saskatoon - Grasswood,Circle Drive Alliance Church,"$28,447",5
Saskatoon - Grasswood,Circle Drive Special Care Home,"$23,122",4
Saskatoon - Grasswood,Co-Operatives First,"$11,502",2
Saskatoon - Grasswood,College Pro,"$6,511",9
Saskatoon - Grasswood,College Pro Painters,"$15,213",10
Saskatoon - Grasswood,College Pro Painters,"$15,407",10
Saskatoon - Grasswood,Corman Park Horse Riders Association,"$5,085",1
Saskatoon - Grasswood,Crossmount Senior Health Corp.,"$12,371",7
Saskatoon - Grasswood,Eastview Centre for Early Learning Co-op Ltd.,"$3,525",1
Saskatoon - Grasswood,Elim Church,"$14,742",3
Saskatoon - Grasswood,Elim Lodge,"$7,153",1
Saskatoon - Grasswood,Emmanuel Baptist Church,"$8,055",1
Saskatoon - Grasswood,Federation of Canadian Music Festivals,"$11,322",2
Saskatoon - Grasswood,Good Shepherd Lutheran Church,"$6,029",1
Saskatoon - Grasswood,Horizon College & Seminary,"$2,876",1
Saskatoon - Grasswood,Hyde Park View,"$6,631",1
Saskatoon - Grasswood,Inclusion Saskatchewan,"$7,683",1
Saskatoon - Grasswood,Jubilee Residences Inc.,"$23,913",7
Saskatoon - Grasswood,L'Arche Saskatoon,"$7,049",2
Saskatoon - Grasswood,Light of the Prairies,"$9,177",2
Saskatoon - Grasswood,Marian Gymnastics Club,"$3,227",1
Saskatoon - Grasswood,Marian Recreational Gymnastics Club,"$1,311",1
Saskatoon - Grasswood,McClure Place,"$13,401",2
Saskatoon - Grasswood,McClure United Church,"$10,065",2
Saskatoon - Grasswood,Parents Child Development Cooperative,"$12,127",4
Saskatoon - Grasswood,Parents' Child Development Co-operative,"$13,566",5
Saskatoon - Grasswood,Parents' Child Development Co-operative,"$12,387",5
Saskatoon - Grasswood,Polyhealth,"$3,539",1
Saskatoon - Grasswood,Preston Early Learning,"$8,760",3
Saskatoon - Grasswood,Roots of Learning,"$3,525",1
Saskatoon - Grasswood,Royal City Soccer Club,"$6,194",2
Saskatoon - Grasswood,Sakatoon Chinese Christian Church,"$6,178",2
Saskatoon - Grasswood,Saskatchewan Abilities Council Inc.,"$11,907",2
Saskatoon - Grasswood,Saskatchewan Elocution and Debate Association (SEDA),"$9,059",3
Saskatoon - Grasswood,Saskatchewan First Nation Natural Resource Centre of Excellence,"$14,098",2
Saskatoon - Grasswood,Saskatchewan First Nations Family and Community Institute,"$9,418",2
Saskatoon - Grasswood,Saskatoon Baseball Council Incorporated,"$4,853",3
Saskatoon - Grasswood,Saskatoon Naturopathic Medicine,"$1,327",1
Saskatoon - Grasswood,Saskatoon Prairieland Park Corporation,"$27,359",4
Saskatoon - Grasswood,Saskatoon Society for the Prevention of Cruelty to Animals,"$17,949",5
Saskatoon - Grasswood,Saskatoon Tribal Council,"$5,176",1
Saskatoon - Grasswood,Sunnyside Adventist Care Centre,"$21,069",6
Saskatoon - Grasswood,The GO Project,"$3,525",2
Saskatoon - Grasswood,The Salvation Army Beaver Creek Camp,"$8,078",3
Saskatoon - Grasswood,Western Development Museum - Saskatoon,"$6,231",1
Saskatoon - Grasswood,TOTAL CONSTITUENCY / CIRCONSCRIPTION,"$557,442",159
Saskatoon - University,25th Street Theatre Centre Inc.,"$12,032",4
Saskatoon - University,360 Painting Saskatoon,"$2,855",1
Saskatoon - University,Acadia Construction,"$23,221",13
Saskatoon - University,Acadia Construction  Management Ltd,"$3,092",2
Saskatoon - University,Acadia Paving Ltd.,"$7,737",6
Saskatoon - University,Albert Childcare Co-operative,"$3,718",1
Saskatoon - University,Boryski's Butcher Block Mobile,"$2,323",2
Saskatoon - University,Boys & Girls Clubs of Saskatoon,"$7,049",2
Saskatoon - University,Broadway Business Improvement District,"$3,097",1
Saskatoon - University,CDBA SASK CHAPTER,"$3,282",1
Saskatoon - University,CNIB,"$3,042",1
Saskatoon - University,Campus Day Care,"$3,489",1
